azimuth_pyproj_class360_5,elevation_pyproj
-180,87.18738912556854
-175,87.39601709076379
-170,86.66702134336221
-165,87.24080390124071
-160,87.37160900538906
-155,87.29163392367701
-150,87.51456572499637
-145,86.64003347952668
-140,85.40062313287135
-135,85.76740826522192
-130,87.16034269190266
-125,87.65076882058992
-120,88.25807135295395
-115,87.18013017415866
-110,87.28951491353472
-105,87.30058001912796
-100,88.52555717467952
-95,88.60449825787249
-90,89.35756063137318
-85,89.32882551373555
-80,88.8201852304364
-75,88.55956696192227
-70,87.52087225286054
-65,87.73368238836193
-60,87.5254040903785
-55,87.72219733732538
-50,87.24876276207979
-45,87.13222766872218
-40,87.21267018751512
-35,85.88857556229846
-30,85.1981448642801
-25,84.66198522560383
-20,85.81843971322905
-15,85.77141255170497
-10,85.08350125218126
-5,84.92380346320236
0,85.85302304469758
5,86.17210522423915
10,86.75726147912218
15,87.32959082287465
20,87.23975740652358
25,86.8264013633117
30,86.49385525301999
35,87.65172662089869
40,87.76818710984521
45,88.00586866684104
50,88.41479389050569
55,88.88514763890242
60,88.7949688044425
65,89.15566061587461
70,89.05787132495311
75,89.40343210515628
80,88.39082204253619
85,88.70762547494245
90,88.57329674366106
95,88.52808561974074
100,88.05460267711739
105,89.10441770354862
110,88.13546221694412
115,85.89889932722829
120,85.29364716212311
125,85.28415404092028
130,85.35219446883396
135,86.5450175277091
140,86.2431269559978
145,85.73040849368178
150,86.9501448865572
155,86.20499479209083
160,80.94364714193475
165,87.07973232928495
170,87.30261712527158
175,87.24283298470726
